county,state_name,lat,lng,population
Chittenden,Vermont,44.4611,-73.0813,168309
Pueblo,Colorado,38.1735,-104.5127,168135
Monroe,Pennsylvania,41.0581,-75.3395,168128
Wyandotte,Kansas,39.1146,-94.7646,167989
Beaver,Pennsylvania,40.6823,-80.3493,167629
Greene,Ohio,39.6915,-83.8899,167567
Charles,Maryland,38.5073,-76.9922,167035
Yellowstone,Montana,45.9373,-108.2744,165524
Comal,Texas,29.8082,-98.2783,165201
Maui,Hawaii,20.8596,-156.565,164765
Houston,Georgia,32.459,-83.6662,164117
Rock,Wisconsin,42.6712,-89.0716,163817
Olmsted,Minnesota,44.0038,-92.4018,162307
Ector,Texas,31.8692,-102.5429,162300
Dorchester,South Carolina,33.0794,-80.4068,162139
Johnson,Indiana,39.49,-86.1016,161952
Portage,Ohio,41.1677,-81.1974,161217
Catawba,North Carolina,35.662,-81.2151,161011
Indian River,Florida,27.6943,-80.6064,160986
Rensselaer,New York,42.7111,-73.5097,160943
Jackson,Michigan,42.2485,-84.4234,160637
St. Clair,Michigan,42.9341,-82.6806,160257
Ouachita,Louisiana,32.4784,-92.1549,159585
Schenectady,New York,42.8181,-74.0586,159447
Martin,Florida,27.0775,-80.4315,159399
Fairfield,Ohio,39.7516,-82.6306,159371
Sullivan,Tennessee,36.5129,-82.3042,158722
Centre,Pennsylvania,40.9189,-77.8199,158665
Stearns,Minnesota,45.5522,-94.6131,158622
Stafford,Virginia,38.4207,-77.458,157606
Alexandria,Virginia,38.8185,-77.0861,157594
Madera,California,37.218,-119.7627,157243
Rankin,Mississippi,32.2641,-89.9458,157185
Columbia,Georgia,33.5441,-82.2641,156921
Canadian,Oklahoma,35.5424,-97.9824,156681
Bibb,Georgia,32.8065,-83.6974,156554
Mesa,Colorado,39.0183,-108.4664,156131
Franklin,Pennsylvania,39.9274,-77.7213,156084
Citrus,Florida,28.8489,-82.4794,155173
Monroe,Michigan,41.9291,-83.5394,154823
Washington,Maryland,39.6036,-77.814,154645
Santa Fe,New Mexico,35.5069,-105.9763,154481
Berrien,Michigan,41.9547,-86.4123,153938
Hampshire,Massachusetts,42.3402,-72.6638,153931
Merrimack,New Hampshire,43.2975,-71.6802,153918
Cumberland,New Jersey,39.3739,-75.1107,153588
Johnson,Iowa,41.6715,-91.5881,153360
Penobscot,Maine,45.4006,-68.6495,152640
Kings,California,36.0752,-119.8155,152515
Scott,Minnesota,44.6485,-93.5359,151347
Parker,Texas,32.7776,-97.8051,151188
Kaufman,Texas,32.5993,-96.2878,149773
Sandoval,New Mexico,35.6886,-106.8659,149460
Wilson,Tennessee,36.1547,-86.2973,149096
Coweta,Georgia,33.3534,-84.7634,147449
Rowan,North Carolina,35.6394,-80.5247,147067
Orange,North Carolina,36.0611,-79.1207,145919
